id,symbol,current_price,market_cap,price_change_percentage_24h,timestamp,price_7d_avg,price_30d_avg,total_volume,current_price_eur,price_change_percentage_24h_flag
bitcoin,btc,97524,1933254001929,0.43232,2025-02-15 21:02:19 UTC,,,16938719656,92647.8,Normal
ethereum,eth,2684.67,323539950393,-1.4735,2025-02-15 21:02:19 UTC,,,10522743232,2550.4365,Normal
ripple,xrp,2.73,157647955427,-0.40736,2025-02-15 21:02:19 UTC,,,4313392981,2.5934999999999997,Normal
tether,usdt,1,142013103902,-0.01975,2025-02-15 21:02:19 UTC,,,40681172631,0.95,Normal
binancecoin,bnb,658.84,96120240333,-0.37337,2025-02-15 21:02:19 UTC,,,1016201917,625.898,Normal
solana,sol,193.11,94298956002,-3.84856,2025-02-15 21:02:19 UTC,,,2721836468,183.4545,Normal
usd-coin,usdc,0.999949,56350887912,0.00132,2025-02-15 21:02:19 UTC,14437.907135571428,,6749175476,0.94995155,Normal
dogecoin,doge,0.269556,39875219514,-1.21591,2025-02-15 21:02:19 UTC,505.9456435714286,,1705459262,0.2560782,Normal
cardano,ada,0.778534,27941754583,-3.20005,2025-02-15 21:02:19 UTC,122.53257700000002,,505193270,0.7396073,Normal
staked-ether,steth,2684.44,25217348081,-1.53695,2025-02-15 21:02:19 UTC,505.63400557142859,,29155919,2550.218,Normal
